,title,year,journal,publisher,paper_type
0,FOUNDATIONAL MODELS IN MEDICAL IMAGING: A COMPREHENSIVE SURVEY AND FUTURE VISION,2023,,arXiv,Review
1,A review on deep learning in medical image analysis,2021,International Journal of Multimedia Information Retrieval,Springer Science and Business Media LLC,Review
2,Convolutional neural networks in medical image understanding: a survey,2021,Evolutionary Intelligence,Springer Science and Business Media LLC,Review
3,Literature review: efficient deep neural networks techniques for medical image analysis,2022,Neural Computing and Applications,Springer Science and Business Media LLC,Review
4,Medical deep learning—A systematic meta-review,2022,Computer Methods and Programs in Biomedicine,Elsevier BV,Review
5,Deep Learning in Medical Imaging: A Review,2022,,CRC Press,Review
6,A survey on deep learning in medical image analysis,2017,Medical Image Analysis,Elsevier BV,Review
7,Deep Learning for Medical Image Cryptography: A Comprehensive Review,2023,Applied Sciences,MDPI AG,Review
8,"Deep learning for healthcare: review, opportunities and challenges",2017,Briefings in Bioinformatics,Oxford University Press (OUP),Review
9,A guide to deep learning in healthcare,2019,Nature Medicine,Springer Science and Business Media LLC,Review
10,Medical image segmentation using deep learning: A survey,2022,IET Image Processing,Institution of Engineering and Technology (IET),Image Segmentation
11,A Review of Deep Learning Algorithms and Their Applications in Healthcare,2022,Algorithms,MDPI AG,Review
12,Deep learning-enabled medical computer vision,2021,npj Digital Medicine,Springer Science and Business Media LLC,Review
13,"A Review of Deep Learning in Medical Imaging: Imaging Traits, Technology Trends, Case Studies With Progress Highlights, and Future Promises",2021,Proceedings of the IEEE,Institute of Electrical and Electronics Engineers (IEEE),Review
14,"Computer vision and machine learning for medical image analysis: recent advances, challenges, and way forward",2022,Artificial Intelligence Surgery,OAE Publishing Inc.,Review
15,A survey on incorporating domain knowledge into deep learning for medical image analysis,2021,Medical Image Analysis,Elsevier BV,Review
16,Vision Transformers in medical computer vision—A contemplative retrospection,2023,Engineering Applications of Artificial Intelligence,Elsevier BV,Review
17,Medical image analysis using deep learning algorithms,2023,Frontiers in Public Health,Frontiers Media SA,Review
18,A comprehensive review of deep neural networks for medical image processing: Recent developments and future opportunities,2023,Healthcare Analytics,Elsevier BV,Review
19,Machine learning for medical imaging: methodological failures and recommendations for the future,2022,npj Digital Medicine,Springer Science and Business Media LLC,Review
20,"Automated algorithm for medical data structuring, and segmentation using artificial intelligence within secured environment for dataset creation",2024,European Journal of Radiology Open,Elsevier BV,Image Segmentation
21,Digital mammographic tumor classification using transfer learning from deep convolutional neural networks,2016,Journal of Medical Imaging,SPIE-Intl Soc Optical Eng,Image Classification
22,Dermatologist-level classification of skin cancer with deep neural networks,2017,Nature,Springer Science and Business Media LLC,Image Classification
23,Transfer learning for medical image classification: a literature review,2022,BMC Medical Imaging,Springer Science and Business Media LLC,Transfer Learning
24,Deep learning for chest radiograph diagnosis: A retrospective comparison of the CheXNeXt algorithm to practicing radiologists,2018,PLOS Medicine,Public Library of Science (PLoS),Image Classification
25,A Deep Learning Mammography-based Model for Improved Breast Cancer Risk Prediction,2019,Radiology,Radiological Society of North America (RSNA),
26,Development and Validation of a Deep Learning Algorithm for Detection of Diabetic Retinopathy in Retinal Fundus Photographs,2016,JAMA,American Medical Association (AMA),
27,Opportunities And Obstacles For Deep Learning In Biology And Medicine,2017,,Cold Spring Harbor Laboratory,
28,AN OVERVIEW OF CHALLENGES IN MEDICAL IMAGE PROCESSING,2022,,ACM,Image Segmentation
29,A review of the application of deep learning in medical image classification and segmentation,2020,Annals of Translational Medicine,AME Publishing Company,Review
30,Systematic Review of Generative Adversarial Networks (GANs) for Medical Image Classification and Segmentation,2022,Journal of Digital Imaging,Springer Science and Business Media LLC,Review
31,Multi-Classification of Brain Tumor MRI Images Using Deep Convolutional Neural Network with Fully Optimized Framework,2021,"Iranian Journal of Science and Technology, Transactions of Electrical Engineering",Springer Science and Business Media LLC,Image Classification
32,Using Deep Learning Architectures for Detection and Classification of Diabetic Retinopathy ,2023,Sensors,MDPI AG,Image Classification
33,COVID-19 Prediction and Detection Using Deep Learning,,,,Image Classification
34,Deep learning approaches for COVID-19 detection based on chest X-ray images,2021,Expert Systems with Applications,Elsevier BV,Image Classification
35,Deep Learning COVID-19 Features on CXR Using Limited Training Data Sets,2020,IEEE Transactions on Medical Imaging,Institute of Electrical and Electronics Engineers (IEEE),Image Classification
36,Deep Learning as a Frontier of Machine Learning: A Review,2018,International Journal of Computer Applications,Foundation of Computer Science,Review
37,Deep learning-enabled medical computer vision(same as 14),2021,npj Digital Medicine,Springer Science and Business Media LLC,Review
38,A multi-model deep convolutional neural network for automatic hippocampus segmentation and classification in Alzheimer’s disease,2020,NeuroImage,Elsevier BV,Multimodal - IC/IS
39,Deep Learning–Based Histopathologic Assessment of Kidney Tissue,2019,Journal of the American Society of Nephrology,Ovid Technologies (Wolters Kluwer Health),Image Segmentation
40,Deep learning for medical image segmentation: State-of-the-art advancements and challenges,2024,Informatics in Medicine Unlocked,Elsevier BV,Image Segmentation
41,Segment anything in medical images,2024,Nature Communications,Springer Science and Business Media LLC,Image Segmentation
42,Medical Image Segmentation and Its Real-World Applications: UNet and Beyond,,,,Image Segmentation
43,Data augmentation for improving deep learning in image classification problem,2018,,IEEE,Data Augmentation
44,Novel Transfer Learning Approach for Medical Imaging with Limited Labeled Data,2021,Cancers,MDPI AG,Transfer Learning
45,Attention Unet++: A Nested Attention-Aware U-Net for Liver CT Image Segmentation,2020,,IEEE,Image Segmentation
46,Deep learning architecture based on segmented fundus image features for classification of diabetic retinopathy,2021,Biomedical Signal Processing and Control,Elsevier BV,Image Classification
47,NucleiSegNet: Robust Deep Learning Architecture for the Nuclei Segmentation of Liver Cancer Histopathology Images,2021,Computers in Biology and Medicine,Elsevier BV,Image Segmentation
48,Brain tumor segmentation and grading of lower-grade glioma using deep learning in MRI images,2020,Computers in Biology and Medicine,Elsevier BV,Image Segmentation
49,MRI-based brain tumor detection using convolutional deep learning methods and chosen machine learning techniques,2023,BMC Medical Informatics and Decision Making,Springer Science and Business Media LLC,Image Classification
50,A Hybrid Deep Transfer Learning of CNN-Based LR-PCA for Breast Lesion Diagnosis via Medical Breast Mammograms ,2022,Sensors,MDPI AG,Image Classification
51,A deep learning method for classifying mammographic breast density categories,2017,Medical Physics,Wiley,Image Classification
52,Embracing Imperfect Datasets: A Review of Deep Learning Solutions for Medical Image Segmentation,2020,Medical Image Analysis,Elsevier BV,Review
53,Unified Focal loss: Generalising Dice and cross entropy-based losses to handle class imbalanced medical image segmentation,2022,Computerized Medical Imaging and Graphics,Elsevier BV,Challenges / Problems
54,CARE: Class Attention to Regions of Lesion for Classification on Imbalanced Data,2023,Neurocomputing,Elsevier BV,Challenges / Problems
55,Segmenting medical images with limited data,2024,Neural Networks,Elsevier BV,Image Segmentation
56,Identifying Melanoma Images using EfficientNet Ensemble: Winning Solution to the SIIM-ISIC Melanoma Classification Challenge,2020,,arXiv,Image Classification
57,Generative Adversarial Network in Medical Imaging: A Review,2019,Medical Image Analysis,Elsevier BV,Review
58,Domain Adaptation for MRI Organ Segmentation using Reverse Classification Accuracy,2018,,arXiv,Image Classification
59,Learning Fixed Points in Generative Adversarial Networks: From Image-to-Image Translation to Disease Detection and Localization,2019,,arXiv,Image Classification
60,Adapting Visual-Language Models for Generalizable Anomaly Detection in Medical Images,2024,,arXiv,Image Classification
